1,"Mash Kyrielight","Transient Wall of Snowflakes","Obscurant Wall of Chalk","Shield of Rousing Resolution",3,0,"Earth","Shielder","Linear",1261,1854,6791,10302,10575,15619,"Female","Lawful Good","Takahashi Rie","https://grandorder.gamepress.gg/servant/mash-kyrielight","QAABB"
2,"Altria Pendragon","Charisma B","Mana Burst A","Intuition A",5,16,"Earth","Saber","Linear",1734,2222,11221,15150,12283,16597,"Female","Lawful Good","Ayako Kawasumi","https://grandorder.gamepress.gg/servant/altria-pendragon","QAABB"
3,"Altria Pendragon (Alter)","Mana Burst A","Intuition B","Charisma E",4,12,"Mankind","Saber","S",1708,1854,10248,11589,12408,14051,"Female","Lawful Evil","Ayako Kawasumi","https://grandorder.gamepress.gg/servant/altria-pendragon-alter","QAABB"
4,"Altria Pendragon (Lily)","Intuition B","Mana Burst A","Journey of the Flowers EX",4,12,"Earth","Saber","S",1287,1699,7726,10623,9355,12880,"Female","Lawful Good","Ayako Kawasumi","https://grandorder.gamepress.gg/servant/altria-pendragon-lily","QAABB"
5,"Nero Claudius","Migraine B","Imperial Privilege EX","Thrice-Setting Sun A",4,12,"Mankind","Saber","Reverse S",1574,1880,9449,11753,11441,14250,"Female","Chaotic Good","Sakura Tange","https://grandorder.gamepress.gg/servant/nero-claudius","QAABB"
6,"Siegfried","Golden Rule C-","Disengage A","Dragon-Slayer A",4,12,"Earth","Saber","S",1363,2266,8181,14165,9905,17175,"Male","Chaotic Good","Junichi Suwabe","https://grandorder.gamepress.gg/servant/siegfried","QAABB"
7,"Gaius Julius Caesar","Tactics B","Charisma C","Incitement EX",3,7,"Mankind","Saber","S",1392,1727,7497,9595,10146,13009,"Male","True Neutral","Ryoutarou Okiayu","https://grandorder.gamepress.gg/servant/gaius-julius-caesar","QQABB"
8,"Altera","Tactics B","Natural Body D","Crest of the Star",5,16,"Mankind","Saber","Linear",1907,2039,12343,13907,13511,15236,"Female","Chaotic Good","Mamiko Noto","https://grandorder.gamepress.gg/servant/altera","QAABB"
9,"Gilles de Rais","Tactics C","Golden Rule B","Prelati's Encouragement B",3,7,"Mankind","Saber","S",1228,1889,6615,10498,8952,14234,"Male","Lawful Good","Satoshi Tsuroka","https://grandorder.gamepress.gg/servant/gilles-de-rais","QAABB"
10,"Chevalier d'Eon","Mind's Eye (True) C","Self-Suggestion A","Aspect of Beauty C",4,12,"Mankind","Saber","Reverse S",1460,2121,8765,13256,10613,16073,"OTHER","True Neutral","Chiwa Saito","https://grandorder.gamepress.gg/servant/chevalier-deon","QAABB"
11,"EMIYA","Mind's Eye (True) B","Clairvoyance C","Magecraft C-",4,12,"Mankind","Archer","S",1566,1843,9398,11521,11379,13969,"Male","True Neutral","Junichi Suwabe","https://grandorder.gamepress.gg/servant/emiya","QAAAB"
12,"Gilgamesh","Charisma A+","Golden Rule A","Collector EX",5,16,"Sky","Archer","Reverse S",1897,1920,12280,13097,13442,14348,"Male","Chaotic Good","Tomokazu Seki","https://grandorder.gamepress.gg/servant/gilgamesh","QAABB"
13,"Robin Hood","Sabotage A","Golden Rule E","May King B",3,7,"Mankind","Archer","Linear",1247,1833,6715,10187,9088,13812,"Male","Neutral Good","Kousuke Toriumi","https://grandorder.gamepress.gg/servant/robin-hood","QQAAB"
14,"Atalante","Beyond Arcadia A","Hunter's Aesthetic C","Calydon Hunt A",4,12,"Earth","Archer","Reverse S",1438,1996,8633,12476,10453,15127,"Female","Neutral Evil","Saori Hayami","https://grandorder.gamepress.gg/servant/atalante","QQAAB"
15,"Euryale","Vampirism C","Siren Song A","Whim of the Goddess A (Euryale)",3,7,"Sky","Archer","Linear",1306,1711,7032,9506,9517,12889,"Female","Chaotic Good","Yuu Asakawa","https://grandorder.gamepress.gg/servant/euryale","QQAAB"
16,"Arash","Toughness EX","Clairvoyance C","Bow and Arrow Creation A",1,3,"Earth","Archer","Linear",1057,1424,5816,7122,9037,10979,"Male","Chaotic Neutral","Satoshi Tsuroka","https://grandorder.gamepress.gg/servant/arash","QAABB"
17,"Cu Chulainn","Battle Continuation A","Protection from Arrows B","Disengage C",3,7,"Sky","Lancer","Reverse S",1344,1726,7239,9593,9797,13007,"Male","Lawful Neutral","Nobutoshi Canna","https://grandorder.gamepress.gg/servant/cu-chulainn","QQABB"
18,"Elisabeth Bathory","Charisma C","Torture Technique A","Battle Continuation B",4,12,"Mankind","Lancer","Linear",1520,1899,9122,11870,11045,14392,"Unknown","Chaotic Evil","Rumi Ookubo","https://grandorder.gamepress.gg/servant/elisabeth-bathory","QQABB"
19,"Musashibou Benkei","Vengeful Spirit Exorcism A","Imposing Stance B","Blank Subscription List",2,4,"Mankind","Lancer","Reverse S",1029,1722,5801,9149,8406,13204,"Male","Chaotic Good","Tetsu Inada","https://grandorder.gamepress.gg/servant/musashibou-benkei","QQAAB"
